Gene,Symbol,Description
DDB_G0278381,gacA,RhoGAP domain-containing protein
DDB_G0278549,gacB,RhoGAP domain-containing protein
DDB_G0278755,gacR,RhoGAP domain-containing protein
DDB_G0279009,gacP,RhoGAP domain-containing protein
DDB_G0279315,gacN,RhoGAP domain-containing protein
DDB_G0280093,gacGG,RhoGAP domain-containing protein
DDB_G0281739,gacY,RhoGAP domain-containing protein
DDB_G0282395,gacQ,RhoGAP domain-containing protein
DDB_G0283955,gacG,RhoGAP domain-containing protein
DDB_G0284571,gacC,RhoGAP domain-containing protein
DDB_G0285163,gacT,RhoGAP domain-containing protein
DDB_G0285641,gacJ,RhoGAP domain-containing protein
DDB_G0285915,gacK,RhoGAP domain-containing protein
DDB_G0287895,gacM,RhoGAP domain-containing protein
DDB_G0288205,gacX,RhoGAP domain-containing protein
DDB_G0290439,gacW,RhoGAP domain-containing protein
DDB_G0290873,gacJJ,RhoGAP domain-containing protein
DDB_G0290891,gacL,RhoGAP domain-containing protein
DDB_G0291021,gacD,RhoGAP domain-containing protein
DDB_G0291978,xacA,RhoGAP domain-containing protein
DDB_G0293184,DDB_G0293184,RhoGAP domain-containing protein
DDB_G0293510,gacV,RhoGAP domain-containing protein
DDB_G0293654,gacE,RhoGAP domain-containing protein
DDB_G0267854,gxcD,RhoGEF domain-containing protein
DDB_G0269424,gxcB,RhoGEF domain-containing protein
DDB_G0277017,gxcN,RhoGEF domain-containing protein
DDB_G0280087,gxcS,RhoGEF domain-containing protein
DDB_G0282073,gxcG,RhoGEF domain-containing protein
DDB_G0282475,gxcF,RhoGEF domain-containing protein
DDB_G0284501,gxcQ,RhoGEF domain-containing protein
DDB_G0284845,gxcC,RhoGEF domain-containing protein
DDB_G0285303,gxcR,RhoGEF domain-containing protein
DDB_G0285859,gxcP,RhoGEF domain-containing protein
DDB_G0288377,gxcH,RhoGEF domain-containing protein
DDB_G0288383,gxcI,RhoGEF domain-containing protein
DDB_G0290023,gxcL,RhoGEF domain-containing protein
DDB_G0291007,gxcK,RhoGEF domain-containing protein
DDB_G0291085,gxcE,RhoGEF domain-containing protein
DDB_G0293266,gxcY,RhoGEF domain-containing protein
DDB_G0293396,gxcO,RhoGEF domain-containing protein
DDB_G0284947,ucr,Rieske iron-sulfur protein
DDB_G0277357,DDB_G0277357,RmlC-like cupin family protein
DDB_G0279251,DDB_G0279251,RmlC-like cupin family protein
DDB_G0283313,DDB_G0283313,RmlC-like cupin family protein
DDB_G0286665,lin9,RmlC-like cupin family protein
DDB_G0288355,DDB_G0288355,RmlC-like cupin family protein
DDB_G0275567,amd1,S-adenosylmethionine decarboxylase
DDB_G0291179,metK,S-adenosylmethionine synthetase
DDB_G0282069,slrA,S-cell enriched leucine-rich repeat protein
DDB_G0283037,esd,S-formylglutathione hydrolase
DDB_G0280183,sglB,S1P lyase
DDB_G0282819,sglA,S1P lyase
DDB_G0272260,sppA,S1P phosphatase
DDB_G0288273,rpl10,S60 ribosomal protein L10
DDB_G0276871,rpl10a,S60 ribosomal protein L10a
DDB_G0279189,rpl11,S60 ribosomal protein L11
DDB_G0288295,rpl12,S60 ribosomal protein L12
DDB_G0291870,rpl13,S60 ribosomal protein L13
DDB_G0275881,rpl13a,S60 ribosomal protein L13a
DDB_G0277975,rpl14,S60 ribosomal protein L14
DDB_G0272893,rpl15-1,S60 ribosomal protein L15
DDB_G0273983,rpl15-2,S60 ribosomal protein L15
DDB_G0285277,rpl17,S60 ribosomal protein L17
DDB_G0279997,rpl18,S60 ribosomal protein L18
DDB_G0285881,rpl18a,S60 ribosomal protein L18a
DDB_G0281565,rpl19,S60 ribosomal protein L19
DDB_G0279387,rpl21,S60 ribosomal protein L21
DDB_G0288101,rpl22,S60 ribosomal protein L22
DDB_G0290091,rpl22a,S60 ribosomal protein L22
DDB_G0290315,rpl23,S60 ribosomal protein L23
DDB_G0293502,rpl23a,S60 ribosomal protein L23a
DDB_G0280229,rpl24,S60 ribosomal protein L24
DDB_G0283741,rpl26,S60 ribosomal protein L26
DDB_G0271298,rpl27,S60 ribosomal protein L27
DDB_G0292388,rpl27a,S60 ribosomal protein L27a
DDB_G0281469,rpl29,S60 ribosomal protein L29
DDB_G0270380,rpl30,S60 ribosomal protein L30
DDB_G0279061,rpl31,S60 ribosomal protein L31
DDB_G0271976,rpl32,S60 ribosomal protein L32
DDB_G0286389,rpl34,S60 ribosomal protein L34
DDB_G0288349,rpl35,S60 ribosomal protein L35
DDB_G0270424,rpl35a,S60 ribosomal protein L35a
DDB_G0271668,rpl36,S60 ribosomal protein L36
DDB_G0270984,rpl36a,S60 ribosomal protein L36a
DDB_G0281093,rpl37A,S60 ribosomal protein L37A
DDB_G0268302,rpl38,S60 ribosomal protein L38
DDB_G0276441,rpl7,S60 ribosomal protein L7
DDB_G0277813,DDB_G0277813,SAC3/GANP family protein
DDB_G0267404,kif6,SAM domain-containing protein
DDB_G0269876,samkA,SAM domain-containing protein
DDB_G0270678,samkC,SAM domain-containing protein
DDB_G0270680,samkD,SAM domain-containing protein
DDB_G0284859,samkB,SAM domain-containing protein
DDB_G0274997,DDB_G0274997,SAP DNA-binding domain-containing protein
DDB_G0277405,DDB_G0277405,SAP DNA-binding domain-containing protein
DDB_G0278625,DDB_G0278625,SAP DNA-binding domain-containing protein
DDB_G0278929,usp39,SAP DNA-binding domain-containing protein
DDB_G0279663,DDB_G0279663,SAP DNA-binding domain-containing protein
DDB_G0280785,DDB_G0280785,SAP DNA-binding domain-containing protein
DDB_G0280787,DDB_G0280787,SAP DNA-binding domain-containing protein
DDB_G0280809,DDB_G0280809,SAP DNA-binding domain-containing protein
DDB_G0281095,DDB_G0281095,SAP DNA-binding domain-containing protein
DDB_G0281229,PNKP,SAP DNA-binding domain-containing protein
DDB_G0281301,DDB_G0281301,SAP DNA-binding domain-containing protein
DDB_G0281637,DDB_G0281637,SAP DNA-binding domain-containing protein
DDB_G0281803,DDB_G0281803,SAP DNA-binding domain-containing protein
DDB_G0286619,DDB_G0286619,SAP DNA-binding domain-containing protein
DDB_G0289713,DDB_G0289713,SAP DNA-binding domain-containing protein
DDB_G0291548,DDB_G0291548,SAP DNA-binding domain-containing protein
DDB_G0292444,DDB_G0292444,SAP DNA-binding domain-containing protein
DDB_G0286561,salA,SAPLIP C protein
DDB_G0281621,DDB_G0281621,SART-1 family protein
DDB_G0284895,DDB_G0284895,SCP-like extracellular domain-containing protein
DDB_G0270808,scy2,SCY1 family protein kinase
DDB_G0269688,sdad1,SDA1 domain-containing protein
DDB_G0273101,DDB_G0273101,SEC7-like domain-containing protein
DDB_G0273831,DDB_G0273831,SEC7-like domain-containing protein
DDB_G0268132,DDB_G0268132,SET domain-containing protein
DDB_G0269554,suvA,SET domain-containing protein
DDB_G0269768,cnrI,SET domain-containing protein
DDB_G0273253,DDB_G0273253,SET domain-containing protein
DDB_G0273589,DDB_G0273589,SET domain-containing protein
DDB_G0277331,DDB_G0277331,SET domain-containing protein
DDB_G0283443,DDB_G0283443,SET domain-containing protein
DDB_G0289257,set1,SET domain-containing protein
DDB_G0289303,DDB_G0289303,SET domain-containing protein
DDB_G0292140,DDB_G0292140,SET domain-containing protein
DDB_G0292454,DDB_G0292454,SET domain-containing protein
DDB_G0294629,DDB_G0294629,SET domain-containing protein
DDB_G0277449,DDB_G0277449,SGK family protein kinase
DDB_G0290157,pkgB,SGK family protein kinase
DDB_G0269292,sugt1,SGS domain-contantaing protein
DDB_G0287829,ecd,SGT1 protein
DDB_G0272020,DDB_G0272020,SH2 domain-containing protein
DDB_G0272354,spt6,SH2 domain-containing protein
DDB_G0278409,shkC,SH2 domain-containing protein
DDB_G0281343,shkD,SH2 domain-containing protein
DDB_G0283267,shkA,SH2 domain-containing protein
DDB_G0288617,shkB,SH2 domain-containing protein
DDB_G0290451,shkE,SH2 domain-containing protein
DDB_G0269708,DDB_G0269708,SH3 domain-containing protein
DDB_G0274805,DDB_G0274805,SH3 domain-containing protein
DDB_G0291984,DDB_G0291984,SH3 domain-containing protein
DDB_G0292870,pex13,SH3 domain-containing protein
DDB_G0269188,snwA,SKIP/SNW domain-containing protein
DDB_G0278469,DDB_G0278469,SMAD/FHA domain-containing protein
DDB_G0273053,DDB_G0273053,SNF2-related domain-containing protein
DDB_G0274075,DDB_G0274075,SNF2-related domain-containing protein
DDB_G0267394,vps46,SNF7 family protein
DDB_G0275573,vps32,SNF7 family protein
DDB_G0277133,DDB_G0277133,SNF7 family protein
DDB_G0284769,vps24,SNF7 family protein
DDB_G0287021,vps20,SNF7 family protein
DDB_G0287993,vps60,SNF7 family protein
DDB_G0290087,vps2A,SNF7 family protein
DDB_G0292400,vps2B,SNF7 family protein
DDB_G0288305,DDB_G0288305,SNO glutamine amidotransferase family protein
DDB_G0275627,sky1,SRPK family protein kinase
DDB_G0276877,mybK,SSXT family protein
DDB_G0283681,DDB_G0283681,STAG domain-containing protein
DDB_G0280895,DDB_G0280895,START domain-containing protein
DDB_G0285445,DDB_G0285445,START domain-containing protein
DDB_G0267730,dst2,STE20 family protein kinase
DDB_G0274593,dst1,STE20 family protein kinase
DDB_G0286359,svkA,STE20 family protein kinase
DDB_G0288071,dst4,STE20 family protein kinase
DDB_G0291267,dst3,STE20 family protein kinase
DDB_G0272869,sun1,SUN domain-containing protein 1
DDB_G0285925,sun2,SUN domain-containing protein 2
DDB_G0277137,DDB_G0277137,SUR2-type hydroxylase/desaturase catalytic region-containing protein
DDB_G0272676,sf3a1,SWAP/Surp domain-containing protein
DDB_G0277033,DDB_G0277033,SWIRM domain-containing protein
DDB_G0277927,mybH,SWIRM domain-containing protein
DDB_G0280079,DDB_G0280079,SWIRM domain-containing protein
DDB_G0276239,DDB_G0276239,Sec1-like family protein
DDB_G0277343,scfd2,Sec1-like family protein
DDB_G0282017,DDB_G0282017,Sec1-like family protein
DDB_G0283937,sec1,Sec1-like family protein
DDB_G0288719,scfd1,Sec1-like family protein
DDB_G0290213,vps45,Sec1-like family protein
DDB_G0291097,vps33,Sec1-like family protein
DDB_G0281511,cog3,Sec34-like family protein
DDB_G0278885,sec61a,SecY family protein
DDB_G0284969,DDB_G0284969,Sel1-like repeat-containing protein
DDB_G0294621,DDB_G0294621,Sel1-like repeat-containing protein
DDB_G0272324,sbds,Shwachman-Bodian-Diamond syndrome protein
DDB_G0269828,DDB_G0269828,Sjogrens syndrome scleroderma autoantigen 1 family protein
DDB_G0287327,prmt5,Skb1 family protein
DDB_G0279303,slob2,Slob family protein kinase
DDB_G0279659,snd1,Staphylococcus nuclease domain-containing protein
DDB_G0274651,gpt4,Stealth family protein
DDB_G0274755,gpt7,Stealth family protein
DDB_G0277597,gpt3,Stealth family protein
DDB_G0288209,DDB_G0288209,T7-like mitochondrial DNA helicase
DDB_G0281215,brf1,"TATA box-binding protein-associated factor, RNA polymerase III, subunit 2"
DDB_G0275617,tbpA,TATA-binding protein
DDB_G0288471,taf6,TATA-binding protein-associated-factor
DDB_G0271338,taf7,TFIID subunit
DDB_G0272360,taf9,TFIID subunit
DDB_G0274697,taf12,TFIID subunit
DDB_G0278843,taf11,TFIID subunit
DDB_G0287337,taf5,TFIID subunit
DDB_G0292724,taf2,TFIID subunit
DDB_G0292838,taf13,TFIID subunit
DDB_G0287131,gtf2f2,TFIIF subunit
DDB_G0272362,gtf2h2,TFIIH subunit
DDB_G0293228,gtf2h4,TFIIH subunit
DDB_G0268678,DDB_G0268678,TH1 family protein
DDB_G0293730,DDB_G0293730,TIM beta/alpha-barrel domain-containing protein
DDB_G0276797,lysA,TLDc domain-containing protein
DDB_G0292416,DDB_G0292416,TLDc domain-containing protein
DDB_G0277895,DDB_G0277895,TM2 domain containing protein
DDB_G0278163,DDB_G0278163,TM2 domain-containing protein
DDB_G0287015,DDB_G0287015,TM2 domain-containing protein
DDB_G0267444,phg1a,TM9 protein A
DDB_G0277273,phg1b,TM9 protein B
DDB_G0290159,phg1c,TM9 protein C
DDB_G0288699,tmem120,TMEM120 family protein
DDB_G0287401,tmem164,TMEM164 family protein
DDB_G0289451,tmem167,TMEM167 family protein
DDB_G0290053,tmem170,TMEM170 family protein
DDB_G0274571,mmgt,TMEM32 family protein
DDB_G0286009,tmem33,TMEM33 family protein
DDB_G0285175,vmp1,TMEM49 family protein
DDB_G0281983,tmem50,TMEM50 family protein
DDB_G0277027,tmem56A,TMEM56 family protein 1
DDB_G0277029,tmem56B,TMEM56 family protein 2
DDB_G0270414,tmem56C,TMEM56 family protein 3
DDB_G0274785,DDB_G0274785,TMF1-like protein
DDB_G0281099,DDB_G0281099,TMS membrane protein/tumour differentially expressed family protein
DDB_G0285095,DDB_G0285095,TPR repeat-containing protein
DDB_G0286233,anapc6,TPR repeat-containing protein
DDB_G0287407,DDB_G0287407,TPR repeat-containing protein
DDB_G0277977,xab2,TPR-like helical domain-containing protein
DDB_G0272186,DDB_G0272186,TPR_1 repeat-containing protein
DDB_G0268444,DDB_G0268444,TRAF-type zinc finger-containing protein
DDB_G0277243,DDB_G0277243,TRAF-type zinc finger-containing protein
DDB_G0293202,DDB_G0293202,TRAF-type zinc finger-containing protein
DDB_G0270496,DDB_G0270496,TRAUB family protein
DDB_G0278981,DDB_G0278981,TRIAD1 protein
DDB_G0292354,DDB_G0292354,TTBK family protein kinase
DDB_G0280995,mps1,TTK family protein kinase
DDB_G0276423,hira,TUP1-like enhancer of split
DDB_G0269630,DDB_G0269630,TatD-related deoxyribonuclease
DDB_G0287397,DDB_G0287397,TatD-related deoxyribonuclease
DDB_G0284589,dlcA,Tctex-1 family protein
DDB_G0289237,tirA,Toll-Interleukin receptor domain-containing protein
DDB_G0292264,nosA,U box domain-containing protein
DDB_G0268004,snrp70,U1 small nuclear ribonucleoprotein 70 kDa protein
DDB_G0293876,sf3a2,U1-type zinc finger-containing protein
DDB_G0284101,snrpA1,U2 small nuclear ribonucleoprotein A'
DDB_G0288391,snrpB2,U2 small nuclear ribonucleoprotein B
DDB_G0268898,wdr75,U3 small nucleolar ribonucleoprotein
DDB_G0269972,sas10,U3 small nucleolar ribonucleoprotein
DDB_G0270230,utp11,U3 small nucleolar ribonucleoprotein
DDB_G0271240,utp18,U3 small nucleolar ribonucleoprotein
DDB_G0276283,utp13,U3 small nucleolar ribonucleoprotein
DDB_G0277019,wdr36,U3 small nucleolar ribonucleoprotein
DDB_G0279245,mpp10,U3 small nucleolar ribonucleoprotein
DDB_G0279371,utp14,U3 small nucleolar ribonucleoprotein
DDB_G0279601,utp6,U3 small nucleolar ribonucleoprotein
DDB_G0282623,wdr3,U3 small nucleolar ribonucleoprotein
DDB_G0283581,utp15,U3 small nucleolar ribonucleoprotein
DDB_G0287537,nop14,U3 small nucleolar ribonucleoprotein
DDB_G0293462,cirh1a,U3 small nucleolar ribonucleoprotein
DDB_G0278983,imp3,U3 small nucleolar ribonucleoprotein protein
DDB_G0302418,imp4,U3 small nucleolar ribonucleoprotein protein
DDB_G0274213,prpf3,U4/U6 small nuclear ribonucleoprotein
DDB_G0274281,ppiH,U4/U6 small nuclear ribonucleoprotein
DDB_G0282243,nhp2l1,U4/U6 small nuclear ribonucleoprotein
DDB_G0287635,prpf4,U4/U6 small nuclear ribonucleoprotein
DDB_G0283359,eftud2,U5 small nuclear ribonucleoprotein subunit
DDB_G0267452,sonA,UAS domain-containing protein
DDB_G0270358,DDB_G0270358,UAS domain-containing protein
DDB_G0280423,DDB_G0280423,UAS domain-containing protein
DDB_G0276057,DDB_G0276057,UBA domain-containing protein
DDB_G0268872,DDB_G0268872,UBP-type zinc finger-containing protein
DDB_G0271798,DDB_G0271798,UBP-type zinc finger-containing protein
DDB_G0291239,ubpA,UBP-type zinc finger-containing protein
DDB_G0268746,DDB_G0268746,UBX domain-containing protein
DDB_G0269774,DDB_G0269774,UBX domain-containing protein
DDB_G0274349,DDB_G0274349,UBX domain-containing protein
DDB_G0279285,DDB_G0279285,UBX domain-containing protein
DDB_G0291259,DDB_G0291259,UBX domain-containing protein
DDB_G0293498,DDB_G0293498,UBX domain-containing protein
DDB_G0295809,DDB_G0295809,UCP029143 family protein
DDB_G0283005,agtA,UDP-Gal:fucoside alpha3-galactosyltransferase
DDB_G0290055,uap1,UDP-N-acetylgalactosamine pyrophosphorylase
DDB_G0275295,galE,UDP-glucose 4-epimerase
DDB_G0274103,ggtA,UDP-glucose glycoprotein alpha-glucosyltransferase
DDB_G0289875,uppA,UDP-glucose pyrophosphorylase
DDB_G0277879,ugpB,UDP-glucose pyrophosphorylase 2
DDB_G0269124,dcsA,"UDP-glucose:1,4-beta-D-glucan 4-beta-D-glucosyltransferase"
DDB_G0267962,tsuA,ULK family protein kinase
DDB_G0292390,atg1,ULK family protein kinase
DDB_G0268656,DDB_G0268656,ULK-related protein kinase
DDB_G0280041,pyr56,UMP synthase
DDB_G0287495,pyrK,UMP-CMP kinase
DDB_G0287149,DDB_G0287149,UMUC-like DNA-repair protein
DDB_G0292320,DDB_G0292320,UNC-50 family protein
DDB_G0278481,DDB_G0278481,UPF0027 family protein
DDB_G0267508,DDB_G0267508,UPF0041 family protein
DDB_G0268478,DDB_G0268478,UPF0041 family protein
DDB_G0275849,DDB_G0275849,UPF0139 membrane protein
DDB_G0280947,DDB_G0280947,UPF0171 family protein
DDB_G0268048,DDB_G0268048,UPF0172 protein
DDB_G0271880,DDB_G0271880,UPF0183 family protein
DDB_G0288325,DDB_G0288325,UPF0197 transmembrane protein
DDB_G0268624,DDB_G0268624,UPF0405 family protein
DDB_G0279967,DDB_G0279967,UPF0406 family protein
DDB_G0277951,DDB_G0277951,UPF0424 family protein
DDB_G0282655,DDB_G0282655,UPF0534 protein
DDB_G0291852,DDB_G0291852,UPF0551 family protein
DDB_G0288723,DDB_G0288723,UPF0553 family protein
DDB_G0270664,DDB_G0270664,UPF0557 family protein
DDB_G0270580,DDB_G0270580,UPF0558 protein
DDB_G0279265,DDB_G0279265,UPF0559 protein
DDB_G0288009,DDB_G0288009,UPF0663 family protein
DDB_G0278015,DDB_G0278015,UPF0682 family protein
DDB_G0286013,repE,UV-damaged DNA binding protein1
DDB_G0287509,DDB_G0287509,UbiA prenyltransferase family protein
DDB_G0288169,cox10,UbiA prenyltransferase family protein
DDB_G0295777,DDB_G0295777,UbiA prenyltransferase family protein
DDB_G0284323,ppil2,Ubox domain-containing protein
DDB_G0277077,DDB_G0277077,UvrB/UvrC domain-containing protein
DDB_G0282627,vps15,VPS15 family protein kinase
DDB_G0271856,vps52C,Vps52 / Sac2 family protein
DDB_G0293496,vps52B,Vps52 / Sac2 family protein
DDB_G0293772,vps52A,Vps52 / Sac2 family protein
DDB_G0285901,DDB_G0285901,Vps53-like domain-containing protein
DDB_G0272811,DDB_G0272811,WASP-related protein
DDB_G0283827,DDB_G0283827,WASP-related protein
DDB_G0285375,atg18,WD repeat domain phosphoinositide-interacting family protein
DDB_G0282581,wdr45l,WD repeat domain phosphoinositide-interacting protein 3
DDB_G0267382,corA,WD-40 repeat-containing protein
DDB_G0269388,corB,WD-40 repeat-containing protein
DDB_G0282529,rbbD,WD-40 repeat-containing protein
DDB_G0285847,rbbE,WD-40 repeat-containing protein
DDB_G0286167,DDB_G0286167,WD-40 repeat-containing protein
DDB_G0267982,copA,WD40 repeat-containing protein
DDB_G0268084,wdr91,WD40 repeat-containing protein
DDB_G0269054,ppwd1,WD40 repeat-containing protein
DDB_G0269344,DDB_G0269344,WD40 repeat-containing protein
DDB_G0269686,DDB_G0269686,WD40 repeat-containing protein
DDB_G0269728,ciao1,WD40 repeat-containing protein
DDB_G0270178,wdr85,WD40 repeat-containing protein
DDB_G0270208,DDB_G0270208,WD40 repeat-containing protein
DDB_G0270444,DDB_G0270444,WD40 repeat-containing protein
DDB_G0270746,DDB_G0270746,WD40 repeat-containing protein
DDB_G0270992,sec31,WD40 repeat-containing protein
DDB_G0271002,DDB_G0271002,WD40 repeat-containing protein
DDB_G0271788,wdr57,WD40 repeat-containing protein
DDB_G0272771,wdr7,WD40 repeat-containing protein
DDB_G0274279,tssc1,WD40 repeat-containing protein
DDB_G0275073,pwp1,WD40 repeat-containing protein
DDB_G0275925,wdr68,WD40 repeat-containing protein
DDB_G0276013,DDB_G0276013,WD40 repeat-containing protein
DDB_G0276031,DDB_G0276031,WD40 repeat-containing protein
DDB_G0276779,DDB_G0276779,WD40 repeat-containing protein
DDB_G0276803,prp19,WD40 repeat-containing protein
DDB_G0277533,DDB_G0277533,WD40 repeat-containing protein
DDB_G0277941,DDB_G0277941,WD40 repeat-containing protein
DDB_G0277955,nup43,WD40 repeat-containing protein
DDB_G0278285,copB2,WD40 repeat-containing protein
DDB_G0278353,smu1,WD40 repeat-containing protein
DDB_G0278661,DDB_G0278661,WD40 repeat-containing protein
DDB_G0278733,DAip1,WD40 repeat-containing protein
DDB_G0278769,cstf1,WD40 repeat-containing protein
DDB_G0279507,plrg1,WD40 repeat-containing protein
DDB_G0279801,pex7,WD40 repeat-containing protein
DDB_G0281061,wdr4,WD40 repeat-containing protein
DDB_G0282573,DDB_G0282573,WD40 repeat-containing protein
DDB_G0282793,wdr61,WD40 repeat-containing protein
DDB_G0283635,wdr89,WD40 repeat-containing protein
DDB_G0283835,rae1,WD40 repeat-containing protein
DDB_G0284471,kif8,WD40 repeat-containing protein
DDB_G0284621,pwp2,WD40 repeat-containing protein
DDB_G0285601,cdc20,WD40 repeat-containing protein
DDB_G0285683,eIF3s2,WD40 repeat-containing protein
DDB_G0286457,strap,WD40 repeat-containing protein
DDB_G0287259,cdh1,WD40 repeat-containing protein
DDB_G0287273,wdr5,WD40 repeat-containing protein
DDB_G0287653,thoc6,WD40 repeat-containing protein
DDB_G0287817,wdr24,WD40 repeat-containing protein
DDB_G0288327,strn,WD40 repeat-containing protein
DDB_G0288375,lis1,WD40 repeat-containing protein
DDB_G0288659,wdr18,WD40 repeat-containing protein
DDB_G0289501,cdc40,WD40 repeat-containing protein
DDB_G0289711,morg1,WD40 repeat-containing protein
DDB_G0290127,DDB_G0290127,WD40 repeat-containing protein
DDB_G0290555,DDB_G0290555,WD40 repeat-containing protein
DDB_G0291596,wdr13,WD40 repeat-containing protein
DDB_G0291822,wdr92,WD40 repeat-containing protein
DDB_G0291832,wdr23,WD40 repeat-containing protein
DDB_G0292052,sec13,WD40 repeat-containing protein
DDB_G0292134,bub3,WD40 repeat-containing protein
DDB_G0292592,lst8,WD40 repeat-containing protein
DDB_G0292834,DDB_G0292834,WD40 repeat-containing protein
DDB_G0293608,wdr53,WD40 repeat-containing protein
DDB_G0295793,DDB_G0295793,WD40 repeat-containing protein
DDB_G0269694,pan2,WD40-like domain-containing protein
DDB_G0274813,DDB_G0274813,WD40-like domain-containing protein
DDB_G0289701,DDB_G0289701,WD40-like domain-containing protein
DDB_G0277539,DDB_G0277539,WEE1 family protein kinase
DDB_G0291133,DDB_G0291133,WEE1 family protein kinase
DDB_G0291842,DDB_G0291842,WEE1 family protein kinase
DDB_G0270430,wipA,WH2 domain-containing protein
DDB_G0281723,DDB_G0281723,WH2 domain-containing protein
DDB_G0281827,dwwA,WW domain-containing protein
DDB_G0274389,pARTf,WWE domain-containing protein
DDB_G0275801,DDB_G0275801,WWE domain-containing protein
DDB_G0293834,wasA,Wiscott-Aldrich syndrome protein
DDB_G0282593,DDB_G0282593,XAP-5 protein
DDB_G0268616,mtaA,XMAP215 family protein
DDB_G0290501,xpnpep1,Xaa-Pro aminopeptidase 1
DDB_G0282075,xpnpep3,Xaa-Pro aminopeptidase 3
DDB_G0271948,DDB_G0271948,YEATS family protein
DDB_G0281587,yipf1,Yip1 domain-containing protein
DDB_G0282825,yipf6,Yip1 domain-containing protein
DDB_G0283541,yipf5,Yip1 domain-containing protein
DDB_G0273091,DDB_G0273091,ZIP family zinc transporter
DDB_G0273809,DDB_G0273809,ZIP family zinc transporter
DDB_G0271672,DDB_G0271672,ZIP zinc transporter protein
DDB_G0281921,DDB_G0281921,ZIP zinc transporter protein
DDB_G0269438,zpr1,ZPR1-type zinc finger-containing protein
DDB_G0286135,DDB_G0286135,ZZ-type zinc finger-containing protein
DDB_G0292818,DDB_G0292818,Zim17-type zinc finger-containing protein
DDB_G0287859,DDB_G0287859,"Zinc finger, N-recognin domain-containing protein"
DDB_G0279795,adamts,a disintegrin-like and metallopeptidase with thrombospondin type 1 motif
DDB_G0289723,abhd,abhydrolase domain-containing protein
DDB_G0271544,DDB_G0271544,acetoacetyl-CoA thiolase
DDB_G0288387,accA,acetyl-CoA carboxylase
DDB_G0277815,acsA,acetyl-CoA ligase
DDB_G0287519,DDB_G0287519,acetyl-coA hydrolase
DDB_G0269526,argD,acetylornithine 5-aminotransferase
DDB_G0267380,argE,acetylornithine deacetylase
DDB_G0270296,dcd1A,acid N-acylsphingosine amidohydrolase-like protein
DDB_G0292768,dcd1B,acid N-acylsphingosine amidohydrolase-like protein
DDB_G0293538,dcd2A,acid ceramidase
DDB_G0267484,acp1,acid phosphatase 1
DDB_G0287109,athl1,acid trehalase-like protein 1
DDB_G0278779,aco2,"aconitase, mitochondrial"
DDB_G0279159,aco1,aconitate hydratase
DDB_G0269100,abpC,actin binding protein
DDB_G0269626,forE,actin binding protein
DDB_G0270762,fimD,actin binding protein
DDB_G0276103,enlA,actin binding protein
DDB_G0277175,forG,actin binding protein
DDB_G0277855,fimA,actin binding protein
DDB_G0278545,fimC,actin binding protein
DDB_G0279607,forA,actin binding protein
DDB_G0282141,hatA,actin binding protein
DDB_G0282143,hatB,actin binding protein
DDB_G0282245,forD,actin binding protein
DDB_G0282297,forB,actin binding protein
DDB_G0285589,forH,actin binding protein
DDB_G0287295,forC,actin binding protein
DDB_G0289483,ctxA,actin binding protein
DDB_G0289599,comA,actin binding protein
DDB_G0289763,forF,actin binding protein
DDB_G0292068,frpA,actin binding protein
DDB_G0292136,hatC,actin binding protein
DDB_G0293522,ponA,actin binding protein
DDB_G0293898,coaA,actin binding protein
DDB_G0268632,abpA,actin binding protein A
DDB_G0287291,abpD,actin binding protein D
DDB_G0273447,abpE-1,actin binding protein E
DDB_G0273517,abpE-2,actin binding protein E
DDB_G0284389,fia,actin domain-containing protein
DDB_G0269476,act31,actin related protein
DDB_G0288937,arpA,actin related protein 1
DDB_G0287739,arpH,actin related protein 10
DDB_G0272106,arpB,actin related protein 2
DDB_G0288319,arcE,"actin related protein 2/3 complex, 16 kDa subunit"
DDB_G0269102,arcD,"actin related protein 2/3 complex, 20 kDa subunit"
DDB_G0292804,arcC,"actin related protein 2/3 complex, 21 kDa subunit"
DDB_G0282813,arcB,"actin related protein 2/3 complex, 34 kDa subunit"
DDB_G0277825,arcA,"actin related protein 2/3 complex, 41 kDa subunit"
DDB_G0283755,arpC,actin related protein 3
DDB_G0280887,arpD,actin related protein 4
DDB_G0291728,arpE,actin related protein 5
DDB_G0287007,arpF,actin related protein 6
DDB_G0287779,arpG,actin related protein 8
DDB_G0280455,ascc2,activating signal cointegrator 1 complex subunit
DDB_G0269712,ahsa,activator of Hsp90 ATPase family protein
DDB_G0270658,acbA,acyl-CoA binding protein
DDB_G0290237,acbd6,acyl-CoA binding protein
DDB_G0282967,acadsb,acyl-CoA dehydrogenase
DDB_G0288647,acad8,acyl-CoA dehydrogenase
DDB_G0271340,DDB_G0271340,acyl-CoA oxidase
DDB_G0276065,DDB_G0276065,acyl-CoA oxidase
DDB_G0276245,DDB_G0276245,acyl-CoA oxidase
DDB_G0277477,DDB_G0277477,acyl-CoA oxidase
DDB_G0283261,acoA,acyl-CoA oxidase
DDB_G0286669,DDB_G0286669,acyl-CoA oxidase
DDB_G0289993,DDB_G0289993,acyl-CoA oxidase
DDB_G0279359,ap1s1,adapter-related protein complex 1 sigma 1B subunit
DDB_G0284905,ap4s1,adapter-related protein complex 4 sigma 1 subunit
