Gene,Symbol,Synonyms,Description,Other IDs,Type of gene,Chromosome,Map location,Locus tag,Symbol from nomenclature authority,Full name from nomenclature authority,Nomenclature status,Other designations,Species,Taxonomy ID
DDB_G0276149,DDB_G0276149,"DDBDRAFT_0169481, DDBDRAFT_0237863, DDB_0169481, DDB_0237863",cyclin-like F-box containing protein,dictyBase: DDB_G0276149,protein-coding,2,,DDB_G0276149,,,,[],44689,352472
DDB_G0278767,DDB_G0278767,"DDBDRAFT_0206178, DDBDRAFT_0237747, DDB_0206178, DDB_0237747",cyclin-like F-box containing protein,dictyBase: DDB_G0278767,protein-coding,3,,DDB_G0278767,,,,[],44689,352472
DDB_G0281237,DDB_G0281237,"DDBDRAFT_0204099, DDBDRAFT_0237775, DDB_0204099, DDB_0237775",cyclin-like F-box containing protein,dictyBase: DDB_G0281237,protein-coding,3,,DDB_G0281237,,,,[],44689,352472
DDB_G0282983,DDB_G0282983,"DDBDRAFT_0185300, DDBDRAFT_0237768, DDB_0185300, DDB_0237768",cyclin-like F-box containing protein,dictyBase: DDB_G0282983,protein-coding,4,,DDB_G0282983,,,,[],44689,352472
DDB_G0285125,DDB_G0285125,"DDBDRAFT_0186356, DDBDRAFT_0237864, DDB_0186356, DDB_0237864",cyclin-like F-box containing protein,dictyBase: DDB_G0285125,protein-coding,4,,DDB_G0285125,,,,[],44689,352472
DDB_G0289099,DDB_G0289099,"DDBDRAFT_0188262, DDBDRAFT_0237750, DDB_0188262, DDB_0237750",cyclin-like F-box containing protein,dictyBase: DDB_G0289099,protein-coding,5,,DDB_G0289099,,,,[],44689,352472
DDB_G0289577,DDB_G0289577,"DDBDRAFT_0219461, DDBDRAFT_0237762, DDB_0219461, DDB_0237762",cyclin-like F-box containing protein,dictyBase: DDB_G0289577,protein-coding,5,,DDB_G0289577,,,,"[""leucine-rich repeat-containing protein""]",44689,352472
DDB_G0291902,DDB_G0291902,"DDBDRAFT_0184126, DDBDRAFT_0237865, DDB_0184126, DDB_0237865",cyclin-like F-box containing protein,dictyBase: DDB_G0291902,protein-coding,6,,DDB_G0291902,,,,[],44689,352472
DDB_G0293826,DDB_G0293826,"DDBDRAFT_0219904, DDBDRAFT_0237763, DDB_0219904, DDB_0237763",cyclin-like F-box containing protein,dictyBase: DDB_G0293826,protein-coding,6,,DDB_G0293826,,,,[],44689,352472
DDB_G0277391,DDB_G0277391,"DDBDRAFT_0169197, DDBDRAFT_0238777, DDB_0169197, DDB_0238777",cyclin-related 2 family protein,dictyBase: DDB_G0277391,protein-coding,2,,DDB_G0277391,,,,[],44689,352472
DDB_G0295785,DDB_G0295785,"DDBDRAFT_0252609, DDB_0252609",cyclin-related 2 family protein,dictyBase: DDB_G0295785,protein-coding,4,,DDB_G0295785,,,,[],44689,352472
DDB_G0269226,cas1,"DDBDRAFT_0190523, DDBDRAFT_0191311, DDB_0190523, DDB_0191311",cycloartenol synthase,dictyBase: DDB_G0269226,protein-coding,1,,DDB_G0269226,,,,[],44689,352472
DDB_G0269120,cypB,"DDBDRAFT_0190487, DDBDRAFT_0191497, DDB_0190487, DDB_0191497",cyclophilin B,dictyBase: DDB_G0269120,protein-coding,1,,DDB_G0269120,,,,[],44689,352472
DDB_G0280401,cypD,"DDBDRAFT_0205184, DDBDRAFT_0215377, DDB_0205184, DDB_0215377",cyclophilin D,dictyBase: DDB_G0280401,protein-coding,3,,DDB_G0280401,,,,[],44689,352472
DDB_G0268358,DDB_G0268358,"DDBDRAFT_0202158, DDBDRAFT_0304674, DDB_0202158, DDB_0304674",cyclophilin-type peptidylprolyl cis-trans isomerase,dictyBase: DDB_G0268358,protein-coding,1,,DDB_G0268358,,,,[],44689,352472
DDB_G0269216,cypE,"DDBDRAFT_0190516, DDBDRAFT_0191208, DDB_0190516, DDB_0191208",cyclophilin-type peptidylprolyl cis-trans isomerase,dictyBase: DDB_G0269216,protein-coding,1,,DDB_G0269216,,,,[],44689,352472
DDB_G0274329,DDB_G0274329,"DDBDRAFT_0167895, DDBDRAFT_0233440, DDB_0167895, DDB_0233440",cyclophilin-type peptidylprolyl cis-trans isomerase,dictyBase: DDB_G0274329,protein-coding,2,,DDB_G0274329,,,,[],44689,352472
DDB_G0282359,ppiA,"DDBDRAFT_0216173, DDBDRAFT_0218376, DDB_0216173, DDB_0218376",cyclophilin-type peptidylprolyl cis-trans isomerase,dictyBase: DDB_G0282359,protein-coding,3,,DDB_G0282359,,,,[],44689,352472
DDB_G0283663,ppiD,"DDBDRAFT_0185614, DDBDRAFT_0235299, DDB_0185614, DDB_0235299",cyclophilin-type peptidylprolyl cis-trans isomerase,dictyBase: DDB_G0283663,protein-coding,4,,DDB_G0283663,,,,"[""peptidylprolyl isomerase"", ""tetratricopeptide-like helical domain-containing protein""]",44689,352472
DDB_G0291734,ppil3,"DDBDRAFT_0184037, DDBDRAFT_0233550, DDB_0184037, DDB_0233550",cyclophilin-type peptidylprolyl cis-trans isomerase,dictyBase: DDB_G0291734,protein-coding,6,,DDB_G0291734,,,,[],44689,352472
DDB_G0283847,DDB_G0283847,"DDBDRAFT_0185725, DDBDRAFT_0238256, DDB_0185725, DDB_0238256",cyclopropane fatty acid synthase,dictyBase: DDB_G0283847,protein-coding,4,,DDB_G0283847,,,,"[""cyclopropane-fatty-acyl-phospholipid synthase""]",44689,352472
DDB_G0267386,cysB,"DDBDRAFT_0189727, DDBDRAFT_0191292, DDB_0189727, DDB_0191292",cystathionine beta-synthase,dictyBase: DDB_G0267386,protein-coding,1,,DDB_G0267386,,,,[],44689,352472
DDB_G0269122,cysA,"DDBDRAFT_0190313, DDBDRAFT_0191318, DDB_0190313, DDB_0191318",cystathionine gamma-lyase,dictyBase: DDB_G0269122,protein-coding,1,,DDB_G0269122,,,,[],44689,352472
DDB_G0291834,cpiA,"DDBDRAFT_0184093, DDBDRAFT_0220657, DDB_0184093, DDB_0220657",cystatin A1,dictyBase: DDB_G0291834,protein-coding,6,,DDB_G0291834,,,,"[""cysteine protease inhibitor""]",44689,352472
DDB_G0280439,cpiB,"DDBDRAFT_0205199, DDBDRAFT_0220658, DDB_0205199, DDB_0220658",cystatin A2,dictyBase: DDB_G0280439,protein-coding,3,,DDB_G0280439,,,,"[""cysteine protease inhibitor""]",44689,352472
DDB_G0277001,cpiC,"DDBDRAFT_0202676, DDBDRAFT_0252666, DDB_0202676, DDB_0252666",cystatin A3,dictyBase: DDB_G0277001,protein-coding,2,,DDB_G0277001,,,,[],44689,352472
DDB_G0279287,DDB_G0279287,"DDBDRAFT_0205700, DDBDRAFT_0232198, DDB_0205700, DDB_0232198","cysteine desulfurase, mitochondrial precursor",dictyBase: DDB_G0279287,protein-coding,3,,DDB_G0279287,,,,[],44689,352472
DDB_G0287555,DDB_G0287555,"DDBDRAFT_0187528, DDBDRAFT_0231093, DDB_0187528, DDB_0231093",cysteine dioxygenase,dictyBase: DDB_G0287555,protein-coding,5,,DDB_G0287555,,,,[],44689,352472
DDB_G0279799,cprB,"DDBDRAFT_0214998, DDBDRAFT_0218192, DDB_0214998, DDB_0218192",cysteine protease,dictyBase: DDB_G0279799,protein-coding,3,,DDB_G0279799,,,,[],44689,352472
DDB_G0291191,DDB_G0291191,"DDBDRAFT_0219654, DDBDRAFT_0252831, DDB_0219654, DDB_0252831",cysteine protease,dictyBase: DDB_G0291191,protein-coding,5,,DDB_G0291191,,,,[],44689,352472
DDB_G0278721,cprD,"DDBDRAFT_0214999, DDBDRAFT_0218119, DDB_0214999, DDB_0218119",cysteine protease 4,dictyBase: DDB_G0278721,protein-coding,3,,DDB_G0278721,,,,[],44689,352472
DDB_G0279185,cprF,"DDBDRAFT_0215002, DDBDRAFT_0218159, DDB_0215002, DDB_0218159",cysteine proteinase,dictyBase: DDB_G0279185,protein-coding,3,,DDB_G0279185,,,,[],44689,352472
DDB_G0279187,cprG,"DDBDRAFT_0205644, DDBDRAFT_0215005, DDB_0205644, DDB_0215005",cysteine proteinase,dictyBase: DDB_G0279187,protein-coding,3,,DDB_G0279187,,,,[],44689,352472
DDB_G0290957,cprA,"DDBDRAFT_0189176, DDBDRAFT_0201647, DDB_0189176, DDB_0201647",cysteine proteinase 1,dictyBase: DDB_G0290957,protein-coding,5,,DDB_G0290957,,,,[],44689,352472
DDB_G0283867,cprC,"DDBDRAFT_0218528, DDBDRAFT_0220784, DDB_0218528, DDB_0220784",cysteine proteinase 3,dictyBase: DDB_G0283867,protein-coding,4,,DDB_G0283867,,,,[],44689,352472
DDB_G0272815,cprE,"DDBDRAFT_0168251, DDBDRAFT_0185092, DDB_0168251, DDB_0185092",cysteine proteinase 5 precursor,dictyBase: DDB_G0272815,protein-coding,2,,DDB_G0272815,,,,[],44689,352472
DDB_G0281951,cyrA,"DDBDRAFT_0205067, DDBDRAFT_0214923, DDB_0205067, DDB_0214923",cysteine rich protein,dictyBase: DDB_G0281951,protein-coding,3,,DDB_G0281951,,,,[],44689,352472
DDB_G0292840,cysK,"DDBDRAFT_0184587, DDBDRAFT_0230066, DDB_0184587, DDB_0230066",cysteine synthase,dictyBase: DDB_G0292840,protein-coding,6,,DDB_G0292840,,,,[],44689,352472
DDB_G0287269,ccbl,"DDBDRAFT_0219206, DDBDRAFT_0231138, DDB_0219206, DDB_0231138",cysteine-S-conjugate beta-lyase,dictyBase: DDB_G0287269,protein-coding,5,,DDB_G0287269,,,,"[""kynurenine aminotransferase"", ""kynurenine-oxoglutarate transaminase""]",44689,352472
DDB_G0277295,mcysS,"DDBDRAFT_0215191, DDBDRAFT_0231320, DDB_0215191, DDB_0231320",cysteine-tRNA ligase,dictyBase: DDB_G0277295,protein-coding,2,,DDB_G0277295,,,,"[""cysteinyl-tRNA synthetase""]",44689,352472
DDB_G0287159,cysS,"DDBDRAFT_0187313, DDBDRAFT_0231318, DDB_0187313, DDB_0231318",cysteine-tRNA ligase,dictyBase: DDB_G0287159,protein-coding,4,,DDB_G0287159,,,,"[""cysteinyl-tRNA synthetase""]",44689,352472
DDB_G0272656,DDB_G0272656,"DDBDRAFT_0168226, DDBDRAFT_0233578, DDB_0168226, DDB_0233578",cystine knot domain-containing protein,dictyBase: DDB_G0272656,protein-coding,2,,DDB_G0272656,,,,[],44689,352472
DDB_G0272927,DDB_G0272927,"DDBDRAFT_0215268, DDBDRAFT_0232259, DDB_0215268, DDB_0232259",cystine knot domain-containing protein,dictyBase: DDB_G0272927,protein-coding,2,,DDB_G0272927,,,,[],44689,352472
DDB_G0273023,DDB_G0273023,"DDBDRAFT_0217093, DDBDRAFT_0233577, DDB_0217093, DDB_0233577",cystine knot domain-containing protein,dictyBase: DDB_G0273023,protein-coding,2,,DDB_G0273023,,,,[],44689,352472
DDB_G0287737,DDB_G0287737,"DDBDRAFT_0187602, DDBDRAFT_0233837, DDB_0187602, DDB_0233837",cystinosin/ERS1p repeat-containing protein,dictyBase: DDB_G0287737,protein-coding,5,,DDB_G0287737,,,,"[""transmembrane protein""]",44689,352472
DDB_G0295677,mpdu1,"DDBDRAFT_0237930, DDB_0237930",cystinosin/ERS1p repeat-containing protein,dictyBase: DDB_G0295677,protein-coding,1,,DDB_G0295677,,,,"[""transmembrane protein""]",44689,352472
DDB_G0288933,cda,"DDBDRAFT_0188181, DDBDRAFT_0230205, DDB_0188181, DDB_0230205",cytidine deaminase,dictyBase: DDB_G0288933,protein-coding,5,,DDB_G0288933,,,,[],44689,352472
DDB_G0278841,DDB_G0278841,"DDBDRAFT_0206230, DDBDRAFT_0230180, DDB_0206230, DDB_0230180",cytidine deaminase-like protein,dictyBase: DDB_G0278841,protein-coding,3,,DDB_G0278841,,,,[],44689,352472
DDB_G0270298,pctA,"DDBDRAFT_0190949, DDBDRAFT_0191331, DDB_0190949, DDB_0191331",cytidylyltransferase domain-containing protein,dictyBase: DDB_G0270298,protein-coding,1,,DDB_G0270298,,,,[],44689,352472
DDB_G0269016,CYP524A1,"DDBDRAFT_0202357, DDBDRAFT_0233032, DDB_0202357, DDB_0233032",cytochrome P450 family protein,dictyBase: DDB_G0269016,protein-coding,1,,DDB_G0269016,,,,[],44689,352472
DDB_G0270354,CYP513A3,"DDBDRAFT_0190992, DDBDRAFT_0232338, DDB_0190992, DDB_0232338",cytochrome P450 family protein,dictyBase: DDB_G0270354,protein-coding,1,,DDB_G0270354,,,,[],44689,352472
DDB_G0271778,CYP516B1,"DDBDRAFT_0203634, DDBDRAFT_0232991, DDB_0203634, DDB_0232991",cytochrome P450 family protein,dictyBase: DDB_G0271778,protein-coding,2,,DDB_G0271778,,,,[],44689,352472
DDB_G0272556,CYP519C1,"DDBDRAFT_0217042, DDBDRAFT_0233022, DDB_0217042, DDB_0233022",cytochrome P450 family protein,dictyBase: DDB_G0272556,protein-coding,2,,DDB_G0272556,,,,[],44689,352472
DDB_G0272604,CYP508A2-1,"DDBDRAFT_0168014, DDBDRAFT_0232345, DDB_0168014, DDB_0232345",cytochrome P450 family protein,dictyBase: DDB_G0272604,protein-coding,2,,DDB_G0272604,,,,[],44689,352472
DDB_G0272652,CYP525A1,"DDBDRAFT_0168230, DDBDRAFT_0233046, DDB_0168230, DDB_0233046",cytochrome P450 family protein,dictyBase: DDB_G0272652,protein-coding,2,,DDB_G0272652,,,,[],44689,352472
DDB_G0272704,CYP515A1,"DDBDRAFT_0168898, DDBDRAFT_0232986, DDB_0168898, DDB_0232986",cytochrome P450 family protein,dictyBase: DDB_G0272704,protein-coding,2,,DDB_G0272704,,,,[],44689,352472
DDB_G0273045,CYP508A1-1,"DDBDRAFT_0217105, DDBDRAFT_0232344, DDB_0217105, DDB_0232344",cytochrome P450 family protein,dictyBase: DDB_G0273045,protein-coding,2,,DDB_G0273045,,,,[],44689,352472
DDB_G0273047,CYP508A3-1,"DDBDRAFT_0217106, DDBDRAFT_0232351, DDB_0217106, DDB_0232351",cytochrome P450 family protein,dictyBase: DDB_G0273047,protein-coding,2,,DDB_G0273047,,,,[],44689,352472
DDB_G0273941,CYP508A3-2,"DDBDRAFT_0217383, DDBDRAFT_0238838, DDB_0217383, DDB_0238838",cytochrome P450 family protein,dictyBase: DDB_G0273941,protein-coding,2,,DDB_G0273941,,,,[],44689,352472
DDB_G0273943,CYP508A1-2,"DDBDRAFT_0217384, DDBDRAFT_0238836, DDB_0217384, DDB_0238836",cytochrome P450 family protein,dictyBase: DDB_G0273943,protein-coding,2,,DDB_G0273943,,,,[],44689,352472
DDB_G0273945,CYP508A2-2,"DDBDRAFT_0217385, DDBDRAFT_0238837, DDB_0217385, DDB_0238837",cytochrome P450 family protein,dictyBase: DDB_G0273945,protein-coding,2,,DDB_G0273945,,,,[],44689,352472
DDB_G0274623,CYP519A1,"DDBDRAFT_0203161, DDBDRAFT_0233019, DDB_0203161, DDB_0233019",cytochrome P450 family protein,dictyBase: DDB_G0274623,protein-coding,2,,DDB_G0274623,,,,[],44689,352472
DDB_G0275197,CYP518B1,"DDBDRAFT_0203096, DDBDRAFT_0233018, DDB_0203096, DDB_0233018",cytochrome P450 family protein,dictyBase: DDB_G0275197,protein-coding,2,,DDB_G0275197,,,,[],44689,352472
DDB_G0277545,CYP518A1,"DDBDRAFT_0217979, DDBDRAFT_0233017, DDB_0217979, DDB_0233017",cytochrome P450 family protein,dictyBase: DDB_G0277545,protein-coding,2,,DDB_G0277545,,,,[],44689,352472
DDB_G0278679,CYP513F1,"DDBDRAFT_0218098, DDBDRAFT_0232343, DDB_0218098, DDB_0232343",cytochrome P450 family protein,dictyBase: DDB_G0278679,protein-coding,3,,DDB_G0278679,,,,[],44689,352472
DDB_G0279403,51.00 CYP,"DDBDRAFT_0218167, DDBDRAFT_0232962, DDB_0218167, DDB_0232962",cytochrome P450 family protein,dictyBase: DDB_G0279403,protein-coding,3,,DDB_G0279403,,,,"[""sterol 14-demethylase""]",44689,352472
DDB_G0279763,CYP513D1,"DDBDRAFT_0206020, DDBDRAFT_0232341, DDB_0206020, DDB_0232341",cytochrome P450 family protein,dictyBase: DDB_G0279763,protein-coding,3,,DDB_G0279763,,,,[],44689,352472
DDB_G0282183,CYP513A1,"DDBDRAFT_0218365, DDBDRAFT_0232336, DDB_0218365, DDB_0232336",cytochrome P450 family protein,dictyBase: DDB_G0282183,protein-coding,3,,DDB_G0282183,,,,[],44689,352472
DDB_G0282283,CYP515B1,"DDBDRAFT_0218368, DDBDRAFT_0232395, DDB_0218368, DDB_0232395",cytochrome P450 family protein,dictyBase: DDB_G0282283,protein-coding,3,,DDB_G0282283,,,,[],44689,352472
DDB_G0282353,5130.00 CYP,"DDBDRAFT_0218372, DDBDRAFT_0232342, DDB_0218372, DDB_0232342",cytochrome P450 family protein,dictyBase: DDB_G0282353,protein-coding,3,,DDB_G0282353,,,,[],44689,352472
DDB_G0282419,CYP508B1,"DDBDRAFT_0204228, DDBDRAFT_0232408, DDB_0204228, DDB_0232408",cytochrome P450 family protein,dictyBase: DDB_G0282419,protein-coding,3,,DDB_G0282419,,,,[],44689,352472
DDB_G0282769,CYP522A1,"DDBDRAFT_0218385, DDBDRAFT_0233031, DDB_0218385, DDB_0233031",cytochrome P450 family protein,dictyBase: DDB_G0282769,protein-coding,3,,DDB_G0282769,,,,[],44689,352472
DDB_G0283929,CYP517A1,"DDBDRAFT_0185757, DDBDRAFT_0232394, DDB_0185757, DDB_0232394",cytochrome P450 family protein,dictyBase: DDB_G0283929,protein-coding,4,,DDB_G0283929,,,,[],44689,352472
DDB_G0283933,CYP517A4,"DDBDRAFT_0185759, DDBDRAFT_0233016, DDB_0185759, DDB_0233016",cytochrome P450 family protein,dictyBase: DDB_G0283933,protein-coding,4,,DDB_G0283933,,,,[],44689,352472
DDB_G0284089,CYP519B1,"DDBDRAFT_0185838, DDBDRAFT_0233020, DDB_0185838, DDB_0233020",cytochrome P450 family protein,dictyBase: DDB_G0284089,protein-coding,4,,DDB_G0284089,,,,[],44689,352472
DDB_G0284345,CYP556A1,"DDBDRAFT_0185959, DDBDRAFT_0233049, DDB_0185959, DDB_0233049",cytochrome P450 family protein,dictyBase: DDB_G0284345,protein-coding,4,,DDB_G0284345,,,,[],44689,352472
DDB_G0284535,CYP508A4,"DDBDRAFT_0186069, DDBDRAFT_0232355, DDB_0186069, DDB_0232355",cytochrome P450 family protein,dictyBase: DDB_G0284535,protein-coding,4,,DDB_G0284535,,,,[],44689,352472
DDB_G0284647,CYP517A2,"DDBDRAFT_0186118, DDBDRAFT_0232998, DDB_0186118, DDB_0232998",cytochrome P450 family protein,dictyBase: DDB_G0284647,protein-coding,4,,DDB_G0284647,,,,[],44689,352472
DDB_G0284923,CYP554A1,"DDBDRAFT_0186260, DDBDRAFT_0233047, DDB_0186260, DDB_0233047",cytochrome P450 family protein,dictyBase: DDB_G0284923,protein-coding,4,,DDB_G0284923,,,,[],44689,352472
DDB_G0286419,5190.00 CYP,"DDBDRAFT_0186965, DDBDRAFT_0233026, DDB_0186965, DDB_0233026",cytochrome P450 family protein,dictyBase: DDB_G0286419,protein-coding,4,,DDB_G0286419,,,,[],44689,352472
DDB_G0286743,CYP555A1,"DDBDRAFT_0187125, DDBDRAFT_0233048, DDB_0187125, DDB_0233048",cytochrome P450 family protein,dictyBase: DDB_G0286743,protein-coding,4,,DDB_G0286743,,,,[],44689,352472
DDB_G0287087,CYP513B1,"DDBDRAFT_0187276, DDBDRAFT_0232339, DDB_0187276, DDB_0232339",cytochrome P450 family protein,dictyBase: DDB_G0287087,protein-coding,4,,DDB_G0287087,,,,[],44689,352472
DDB_G0290707,CYP514A4,"DDBDRAFT_0189022, DDBDRAFT_0232979, DDB_0189022, DDB_0232979",cytochrome P450 family protein,dictyBase: DDB_G0290707,protein-coding,5,,DDB_G0290707,,,,[],44689,352472
DDB_G0290743,CYP514A1,"DDBDRAFT_0189054, DDBDRAFT_0232982, DDB_0189054, DDB_0232982",cytochrome P450 family protein,dictyBase: DDB_G0290743,protein-coding,5,,DDB_G0290743,,,,[],44689,352472
DDB_G0291105,CYP513C1,"DDBDRAFT_0189245, DDBDRAFT_0232340, DDB_0189245, DDB_0232340",cytochrome P450 family protein,dictyBase: DDB_G0291105,protein-coding,5,,DDB_G0291105,,,,[],44689,352472
DDB_G0291448,CYP519D1,"DDBDRAFT_0183898, DDBDRAFT_0233025, DDB_0183898, DDB_0233025",cytochrome P450 family protein,dictyBase: DDB_G0291448,protein-coding,6,,DDB_G0291448,,,,[],44689,352472
DDB_G0291702,CYP520B1,"DDBDRAFT_0184019, DDBDRAFT_0252692, DDB_0184019, DDB_0252692",cytochrome P450 family protein,dictyBase: DDB_G0291702,protein-coding,6,,DDB_G0291702,,,,[],44689,352472
DDB_G0292168,CYP516A1,"DDBDRAFT_0219711, DDBDRAFT_0232988, DDB_0219711, DDB_0232988",cytochrome P450 family protein,dictyBase: DDB_G0292168,protein-coding,6,,DDB_G0292168,,,,[],44689,352472
DDB_G0292496,CYP520A1,"DDBDRAFT_0184435, DDBDRAFT_0233029, DDB_0184435, DDB_0233029",cytochrome P450 family protein,dictyBase: DDB_G0292496,protein-coding,6,,DDB_G0292496,,,,[],44689,352472
DDB_G0292790,CYP508D1,"DDBDRAFT_0191641, DDBDRAFT_0232976, DDB_0191641, DDB_0232976",cytochrome P450 family protein,dictyBase: DDB_G0292790,protein-coding,6,,DDB_G0292790,,,,[],44689,352472
DDB_G0292792,CYP508C1,"DDBDRAFT_0191642, DDBDRAFT_0232965, DDB_0191642, DDB_0232965",cytochrome P450 family protein,dictyBase: DDB_G0292792,protein-coding,6,,DDB_G0292792,,,,[],44689,352472
DDB_G0293738,CYP521A1,"DDBDRAFT_0219892, DDBDRAFT_0233030, DDB_0219892, DDB_0233030",cytochrome P450 family protein,dictyBase: DDB_G0293738,protein-coding,6,,DDB_G0293738,,,,[],44689,352472
DDB_G0294561,CYP514A2,"DDBDRAFT_0232984, DDB_0232984",cytochrome P450 family protein,dictyBase: DDB_G0294561,protein-coding,5,,DDB_G0294561,,,,[],44689,352472
DDB_G0280569,uqcrq,"DDBDRAFT_0206048, DDBDRAFT_0267111, DDB_0206048, DDB_0267111",cytochrome b-c1 complex subunit 8,dictyBase: DDB_G0280569,protein-coding,3,,DDB_G0280569,,,,[],44689,352472
DDB_G0276033,cyb5A,"DDBDRAFT_0169432, DDBDRAFT_0304725, DDB_0169432, DDB_0304725",cytochrome b5 A,dictyBase: DDB_G0276033,protein-coding,2,,DDB_G0276033,,,,[],44689,352472
DDB_G0277079,cyb5B,"DDBDRAFT_0217897, DDBDRAFT_0304726, DDB_0217897, DDB_0304726",cytochrome b5 B,dictyBase: DDB_G0277079,protein-coding,2,,DDB_G0277079,,,,[],44689,352472
DDB_G0278753,cyb5C,"DDBDRAFT_0206171, DDBDRAFT_0304724, DDB_0206171, DDB_0304724",cytochrome b5 C,dictyBase: DDB_G0278753,protein-coding,3,,DDB_G0278753,,,,[],44689,352472
DDB_G0270752,DDB_G0270752,"DDBDRAFT_0201979, DDBDRAFT_0304715, DDB_0201979, DDB_0304715",cytochrome b5 domain-containing protein,dictyBase: DDB_G0270752,protein-coding,1,,DDB_G0270752,,,,[],44689,352472
DDB_G0273105,DDB_G0273105,"DDBDRAFT_0168056, DDBDRAFT_0238337, DDB_0168056, DDB_0238337",cytochrome b5 domain-containing protein,dictyBase: DDB_G0273105,protein-coding,2,,DDB_G0273105,,,,"[""delta 9 fatty acid desaturase"", ""stearoyl-CoA 9-desaturase""]",44689,352472
DDB_G0275647,DDB_G0275647,"DDBDRAFT_0167227, DDBDRAFT_0266820, DDB_0167227, DDB_0266820",cytochrome b5 domain-containing protein,dictyBase: DDB_G0275647,protein-coding,2,,DDB_G0275647,,,,[],44689,352472
DDB_G0282683,DDB_G0282683,"DDBDRAFT_0204917, DDBDRAFT_0252829, DDB_0204917, DDB_0252829",cytochrome b5 domain-containing protein,dictyBase: DDB_G0282683,protein-coding,3,,DDB_G0282683,,,,[],44689,352472
DDB_G0288801,DDB_G0288801,"DDBDRAFT_0188116, DDBDRAFT_0238338, DDB_0188116, DDB_0238338",cytochrome b5 domain-containing protein,dictyBase: DDB_G0288801,protein-coding,5,,DDB_G0288801,,,,"[""delta 9 fatty acid desaturase"", ""stearoyl-CoA 9-desaturase""]",44689,352472
DDB_G0278567,DDB_G0278567,"DDBDRAFT_0205543, DDBDRAFT_0266822, DDB_0205543, DDB_0266822",cytochrome b5 reductase,dictyBase: DDB_G0278567,protein-coding,3,,DDB_G0278567,,,,[],44689,352472
DDB_G0286171,uqcrb,"DDBDRAFT_0218791, DDBDRAFT_0267110, DDB_0218791, DDB_0267110","cytochrome bd ubiquinol oxidase, 14 kDa subunit",dictyBase: DDB_G0286171,protein-coding,4,,DDB_G0286171,,,,[],44689,352472
DDB_G0275537,cytC,"DDBDRAFT_0216257, DDBDRAFT_0217692, DDB_0216257, DDB_0217692",cytochrome c,dictyBase: DDB_G0275537,protein-coding,2,,DDB_G0275537,,,,[],44689,352472
DDB_G0275895,cchl,"DDBDRAFT_0217711, DDBDRAFT_0266707, DDB_0217711, DDB_0266707",cytochrome c heme-lyase,dictyBase: DDB_G0275895,protein-coding,2,,DDB_G0275895,,,,"[""holocytochrome c synthase""]",44689,352472
DDB_G0281549,coxA,"DDBDRAFT_0214997, DDB_0214997",cytochrome c oxidase assembly protein,dictyBase: DDB_G0281549,protein-coding,3,,DDB_G0281549,,,,[],44689,352472
DDB_G0289353,cox11,"DDBDRAFT_0188377, DDBDRAFT_0252815, DDB_0188377, DDB_0252815",cytochrome c oxidase assembly protein,dictyBase: DDB_G0289353,protein-coding,5,,DDB_G0289353,,,,[],44689,352472
DDB_G0281393,cxdA,"DDBDRAFT_0214995, DDBDRAFT_0218305, DDB_0214995, DDB_0218305",cytochrome c oxidase subunit IV,dictyBase: DDB_G0281393,protein-coding,3,,DDB_G0281393,,,,[],44689,352472
DDB_G0269118,cxeA,"DDBDRAFT_0190701, DDBDRAFT_0191104, DDB_0190701, DDB_0191104",cytochrome c oxidase subunit V,dictyBase: DDB_G0269118,protein-coding,1,,DDB_G0269118,,,,[],44689,352472
DDB_G0282097,cxfA,"DDBDRAFT_0205131, DDBDRAFT_0215013, DDB_0205131, DDB_0215013",cytochrome c oxidase subunit VI,dictyBase: DDB_G0282097,protein-coding,3,,DDB_G0282097,,,,[],44689,352472
DDB_G0277837,cxgE,"DDBDRAFT_0204335, DDBDRAFT_0216179, DDB_0204335, DDB_0216179",cytochrome c oxidase subunit VIIe,dictyBase: DDB_G0277837,protein-coding,3,,DDB_G0277837,,,,[],44689,352472
DDB_G0269220,DDB_G0269220,"DDBDRAFT_0190616, DDBDRAFT_0191316, DDB_0190616, DDB_0191316",cytochrome c oxidase subunit VIb,dictyBase: DDB_G0269220,protein-coding,1,,DDB_G0269220,,,,[],44689,352472
DDB_G0292594,cyc1,"DDBDRAFT_0184465, DDBDRAFT_0238603, DDB_0184465, DDB_0238603",cytochrome c1,dictyBase: DDB_G0292594,protein-coding,6,,DDB_G0292594,,,,[],44689,352472
DDB_G0277839,cxgS,"DDBDRAFT_0204334, DDBDRAFT_0216180, DDB_0204334, DDB_0216180",cytochrome oxidase subunit VIIs,dictyBase: DDB_G0277839,protein-coding,3,,DDB_G0277839,,,,[],44689,352472
DDB_G0276355,dhcA,"DDBDRAFT_0166999, DDBDRAFT_0185096, DDB_0166999, DDB_0185096",cytoplasmic dynein heavy chain,dictyBase: DDB_G0276355,protein-coding,2,,DDB_G0276355,,,,"[""dynein beta chain, flagellar outer arm""]",44689,352472
DDB_G0280849,dicA,"DDBDRAFT_0215245, DDBDRAFT_0215397, DDB_0215245, DDB_0215397",cytoplasmic dynein intermediate chain,dictyBase: DDB_G0280849,protein-coding,3,,DDB_G0280849,,,,"[""dynein intermediate chain""]",44689,352472
