pathway	description	genes_in_pathway	matches	%_match	pValue	adj.pValue	overlap
abolished polyketide metabolic process	"abolished polyketide metabolic process"	2	0	0	1	1	
abolished positive chemotaxis	"abolished positive chemotaxis"	4	0	0	1	1	
abolished positive regulation of chemorepellant activity	"abolished positive regulation of chemorepellant activity"	14	0	0	1	1	
abolished post-transciptional gene silencing by RNA	"abolished post-transciptional gene silencing by RNA"	1	0	0	1	1	
abolished pre-miRNA processing	"abolished pre-miRNA processing"	1	0	0	1	1	
abolished prespore cell differentiation	"abolished prespore cell differentiation"	3	0	0	1	1	
abolished prespore cell division	"abolished prespore cell division"	1	0	0	1	1	
abolished prespore gene expression	"abolished prespore gene expression"	4	0	0	1	1	
abolished prestalk B cell differentiation	"abolished prestalk B cell differentiation"	1	0	0	1	1	
abolished prestalk O cell differentiation	"abolished prestalk O cell differentiation"	1	0	0	1	1	
abolished prestalk cell differentiation	"abolished prestalk cell differentiation"	2	0	0	1	1	
abolished prestalk gene expression	"abolished prestalk gene expression"	2	0	0	1	1	
abolished production of siRNA involved in RNA interference	"abolished production of siRNA involved in RNA interference"	1	0	0	1	1	
abolished protein binding	"abolished protein binding"	3	0	0	1	1	
abolished protein kinase activation	"abolished protein kinase activation"	6	0	0	1	1	
abolished protein level	"abolished protein level"	2	0	0	1	1	
abolished protein localization to actin wave	"abolished protein localization to actin wave"	1	0	0	1	1	
abolished protein localization to apical plasma membrane	"abolished protein localization to apical plasma membrane"	1	0	0	1	1	
abolished protein localization to autophagosome	"abolished protein localization to autophagosome"	2	0	0	1	1	
abolished protein localization to cell cortex	"abolished protein localization to cell cortex"	7	0	0	1	1	
abolished protein localization to cell periphery	"abolished protein localization to cell periphery"	1	0	0	1	1	
abolished protein localization to cell surface	"abolished protein localization to cell surface"	1	0	0	1	1	
abolished protein localization to cell-cell contact zone	"abolished protein localization to cell-cell contact zone"	1	0	0	1	1	
abolished protein localization to centrosome	"abolished protein localization to centrosome"	1	0	0	1	1	
abolished protein localization to clathrin-coated pit	"abolished protein localization to clathrin-coated pit"	1	0	0	1	1	
abolished protein localization to cleavage furrow	"abolished protein localization to cleavage furrow"	6	0	0	1	1	
abolished protein localization to contractile vacuole	"abolished protein localization to contractile vacuole"	1	0	0	1	1	
abolished protein localization to cytoplasm	"abolished protein localization to cytoplasm"	1	0	0	1	1	
abolished protein localization to cytoplasmic vesicle	"abolished protein localization to cytoplasmic vesicle"	0	0	NaN	1	1	
abolished protein localization to endolysosome	"abolished protein localization to endolysosome"	1	0	0	1	1	
abolished protein localization to leading edge	"abolished protein localization to leading edge"	2	0	0	1	1	
abolished protein localization to macropinosome	"abolished protein localization to macropinosome"	0	0	NaN	1	1	
abolished protein localization to microtubule organizing center	"abolished protein localization to microtubule organizing center"	2	0	0	1	1	
abolished protein localization to microtubules	"abolished protein localization to microtubules"	1	0	0	1	1	
abolished protein localization to mitotic spindle midzone	"abolished protein localization to mitotic spindle midzone"	1	0	0	1	1	
abolished protein localization to mitotic spindle	"abolished protein localization to mitotic spindle"	1	0	0	1	1	
abolished protein localization to nuclear envelope	"abolished protein localization to nuclear envelope"	1	0	0	1	1	
abolished protein localization to nucleus	"abolished protein localization to nucleus"	9	0	0	1	1	
abolished protein localization to phagocytic vesicle	"abolished protein localization to phagocytic vesicle"	1	0	0	1	1	
abolished protein localization to plasma membrane	"abolished protein localization to plasma membrane"	11	0	0	1	1	
abolished protein localization to pseudopodium	"abolished protein localization to pseudopodium"	3	0	0	1	1	
abolished protein localization to trailing edge	"abolished protein localization to trailing edge"	3	0	0	1	1	
abolished protein localization	"abolished protein localization"	1	0	0	1	1	
abolished protein modification	"abolished protein modification"	1	0	0	1	1	
abolished protein phosphorylation	"abolished protein phosphorylation"	11	0	0	1	1	
abolished protein secretion	"abolished protein secretion"	1	0	0	1	1	
abolished protein tyrosine phosphorylation	"abolished protein tyrosine phosphorylation"	2	0	0	1	1	
abolished response to DIF-1	"abolished response to DIF-1"	3	0	0	1	1	
abolished response to biotic stimulus	"abolished response to biotic stimulus"	2	0	0	1	1	
abolished response to cAMP	"abolished response to cAMP"	1	0	0	1	1	
abolished slug development	"abolished slug development"	2	0	0	1	1	
abolished slug migration	"abolished slug migration"	43	1	2.33	0.281997149903543	1	8621440
abolished small molecule binding	"abolished small molecule binding"	1	0	0	1	1	
abolished spore cell differentiation	"abolished spore cell differentiation"	5	0	0	1	1	
abolished sporulation	"abolished sporulation"	31	0	0	1	1	
abolished stalk cell differentiation	"abolished stalk cell differentiation"	8	0	0	1	1	
abolished stalk development	"abolished stalk development"	2	0	0	1	1	
abolished transitive RNA interference	"abolished transitive RNA interference"	5	0	0	1	1	
abolished uracil biosynthetic process	"abolished uracil biosynthetic process"	1	0	0	1	1	
decreased 3' 5'-cyclic-AMP phosphodiesterase activity	"decreased 3' 5'-cyclic-AMP phosphodiesterase activity"	3	0	0	1	1	
decreased 3' 5'-cyclic-GMP phosphodiesterase activity	"decreased 3' 5'-cyclic-GMP phosphodiesterase activity"	1	0	0	1	1	
decreased ATP level	"decreased ATP level"	5	0	0	1	1	
decreased DNA methylation on cytosine	"decreased DNA methylation on cytosine"	1	0	0	1	1	
decreased actin filament bundle assembly	"decreased actin filament bundle assembly"	1	0	0	1	1	
decreased actin filament polymerization at leading edge	"decreased actin filament polymerization at leading edge"	4	0	0	1	1	
decreased actin filament polymerization	"decreased actin filament polymerization"	33	0	0	1	1	
decreased actin filament sliding	"decreased actin filament sliding"	1	0	0	1	1	
decreased actin phosphorylation	"decreased actin phosphorylation"	1	0	0	1	1	
decreased activation of GTPase activity	"decreased activation of GTPase activity"	9	0	0	1	1	
decreased adenylate cyclase activity	"decreased adenylate cyclase activity"	2	0	0	1	1	
decreased autophagic cell death	"decreased autophagic cell death"	2	0	0	1	1	
decreased autophagic vacuole organization	"decreased autophagic vacuole organization"	3	0	0	1	1	
decreased autophagy	"decreased autophagy"	4	0	0	1	1	
decreased bleb assembly	"decreased bleb assembly"	6	0	0	1	1	
decreased cAMP binding	"decreased cAMP binding"	2	0	0	1	1	
decreased cAMP level	"decreased cAMP level"	14	0	0	1	1	
decreased cGMP biosynthesis	"decreased cGMP biosynthesis"	4	0	0	1	1	
decreased calcium ion import	"decreased calcium ion import"	3	0	0	1	1	
decreased calcium-dependent cell-cell adhesion	"decreased calcium-dependent cell-cell adhesion"	1	0	0	1	1	
decreased calcium-independent cell-cell adhesion	"decreased calcium-independent cell-cell adhesion"	1	0	0	1	1	
decreased catalase activity	"decreased catalase activity"	1	0	0	1	1	
decreased catalytic activity	"decreased catalytic activity"	18	0	0	1	1	
decreased cell death	"decreased cell death"	1	0	0	1	1	
decreased cell fate determination	"decreased cell fate determination"	1	0	0	1	1	
decreased cell migration to prestalk region	"decreased cell migration to prestalk region"	6	0	0	1	1	
decreased cell-substrate adhesion	"decreased cell-substrate adhesion"	29	1	3.45	0.200030279044687	1	8624865
decreased cellular localization	"decreased cellular localization"	1	0	0	1	1	
decreased cellular thermotolerance	"decreased cellular thermotolerance"	0	0	NaN	1	1	
decreased chemotaxis rate	"decreased chemotaxis rate"	36	1	2.78	0.242098884468998	1	8624865
decreased contractile vacuole discharge	"decreased contractile vacuole discharge"	2	0	0	1	1	
decreased contractile vacuole size	"decreased contractile vacuole size"	4	0	0	1	1	
decreased culmination	"decreased culmination"	10	0	0	1	1	
decreased cytochrome C oxidase activity	"decreased cytochrome C oxidase activity"	0	0	NaN	1	1	
decreased defense response to Gram-negative bacterium	"decreased defense response to Gram-negative bacterium"	23	0	0	1	1	
decreased defense response to Gram-positive bacterium	"decreased defense response to Gram-positive bacterium"	4	0	0	1	1	
decreased defense response to fungus	"decreased defense response to fungus"	1	0	0	1	1	
decreased double-strand break repair via homologous recombination	"decreased double-strand break repair via homologous recombination"	1	0	0	1	1	
decreased double-strand break repair via nonhomologous end joining	"decreased double-strand break repair via nonhomologous end joining"	4	0	0	1	1	
decreased double-strand break repair	"decreased double-strand break repair"	1	0	0	1	1	
decreased endosomal vesicle fusion	"decreased endosomal vesicle fusion"	1	0	0	1	1	
decreased epithelium-like organization	"decreased epithelium-like organization"	0	0	NaN	1	1	
decreased exocytosis	"decreased exocytosis"	12	0	0	1	1	
decreased fatty acid level	"decreased fatty acid level"	2	0	0	1	1	
decreased filopodium formation	"decreased filopodium formation"	8	0	0	1	1	
decreased folic acid binding	"decreased folic acid binding"	0	0	NaN	1	1	
decreased glycogen level	"decreased glycogen level"	3	0	0	1	1	
decreased guanyl-nucleotide exchange factor activity	"decreased guanyl-nucleotide exchange factor activity"	1	0	0	1	1	
decreased guanylyl cyclase activity	"decreased guanylyl cyclase activity"	4	0	0	1	1	
decreased histone deacetylase activity	"decreased histone deacetylase activity"	0	0	NaN	1	1	
decreased hypotonic response	"decreased hypotonic response"	5	0	0	1	1	
decreased intracellular pH	"decreased intracellular pH"	1	0	0	1	1	
decreased lateral pseudopodium formation	"decreased lateral pseudopodium formation"	3	0	0	1	1	
decreased lateral pseudopodium retraction	"decreased lateral pseudopodium retraction"	9	0	0	1	1	
decreased lipid binding	"decreased lipid binding"	1	0	0	1	1	
decreased lipid droplet formation	"decreased lipid droplet formation"	1	0	0	1	1	
decreased lower cup size	"decreased lower cup size"	1	0	0	1	1	
decreased lysosomal protein degradation	"decreased lysosomal protein degradation"	4	0	0	1	1	
decreased lysosome size	"decreased lysosome size"	0	0	NaN	1	1	
decreased macroautophagy	"decreased macroautophagy"	0	0	NaN	1	1	
decreased macrocyst size	"decreased macrocyst size"	1	0	0	1	1	
decreased macropinocytosis	"decreased macropinocytosis"	23	0	0	1	1	
decreased microtubule nucleation	"decreased microtubule nucleation"	1	0	0	1	1	
decreased migratory slug size	"decreased migratory slug size"	4	0	0	1	1	
decreased mitochondrial fission	"decreased mitochondrial fission"	3	0	0	1	1	
decreased mitochondrial fusion	"decreased mitochondrial fusion"	2	0	0	1	1	
decreased myo-inositol level	"decreased myo-inositol level"	1	0	0	1	1	
decreased myosin II assembly	"decreased myosin II assembly"	17	0	0	1	1	
decreased necrotic cell death	"decreased necrotic cell death"	2	0	0	1	1	
decreased number of astral microtubules	"decreased number of astral microtubules"	0	0	NaN	1	1	
decreased number of autophagosomes	"decreased number of autophagosomes"	2	0	0	1	1	
decreased number of mitochondria	"decreased number of mitochondria"	3	0	0	1	1	
decreased number of mounds	"decreased number of mounds"	3	0	0	1	1	
decreased number of post-lysosomal vacuoles	"decreased number of post-lysosomal vacuoles"	1	0	0	1	1	
decreased number of vacuoles	"decreased number of vacuoles"	1	0	0	1	1	
decreased oscillatory cAMP signaling	"decreased oscillatory cAMP signaling"	7	0	0	1	1	
decreased outer basal disc size	"decreased outer basal disc size"	1	0	0	1	1	
decreased peptidyl-proline hydroxylation	"decreased peptidyl-proline hydroxylation"	1	0	0	1	1	
decreased phagocytosis	"decreased phagocytosis"	71	0	0	1	1	
decreased phagolysosome formation	"decreased phagolysosome formation"	1	0	0	1	1	
decreased phagolysosome size	"decreased phagolysosome size"	2	0	0	1	1	
decreased phosphatidylinositol biosynthesis	"decreased phosphatidylinositol biosynthesis"	1	0	0	1	1	
decreased pinocytosis	"decreased pinocytosis"	34	1	2.94	0.230305688494113	1	8616748
decreased pinosome size	"decreased pinosome size"	1	0	0	1	1	
decreased plasma membrane organization	"decreased plasma membrane organization"	0	0	NaN	1	1	
decreased post-lysosomal vacuole size	"decreased post-lysosomal vacuole size"	1	0	0	1	1	
decreased prespore cell differentiation	"decreased prespore cell differentiation"	16	0	0	1	1	
decreased prespore gene expression	"decreased prespore gene expression"	17	0	0	1	1	
decreased prestalk A cell differentiation	"decreased prestalk A cell differentiation"	2	0	0	1	1	
decreased prestalk B cell differentiation	"decreased prestalk B cell differentiation"	1	0	0	1	1	
decreased prestalk O cell differentiation	"decreased prestalk O cell differentiation"	4	0	0	1	1	
decreased prestalk cell differentiation	"decreased prestalk cell differentiation"	6	0	0	1	1	
decreased protein binding	"decreased protein binding"	3	0	0	1	1	
decreased protein kinase activity	"decreased protein kinase activity"	3	0	0	1	1	
decreased protein localization to autophagosome	"decreased protein localization to autophagosome"	1	0	0	1	1	
decreased protein localization to cell cortex	"decreased protein localization to cell cortex"	7	0	0	1	1	
decreased protein localization to cell surface	"decreased protein localization to cell surface"	2	0	0	1	1	
decreased protein localization to cleavage furrow	"decreased protein localization to cleavage furrow"	4	0	0	1	1	
decreased protein localization to cytoplasm	"decreased protein localization to cytoplasm"	1	0	0	1	1	
decreased protein localization to leading edge	"decreased protein localization to leading edge"	1	0	0	1	1	
decreased protein localization to microtubule organizing center	"decreased protein localization to microtubule organizing center"	0	0	NaN	1	1	
decreased protein localization to nuclear envelope	"decreased protein localization to nuclear envelope"	1	0	0	1	1	
decreased protein localization to nucleus	"decreased protein localization to nucleus"	1	0	0	1	1	
decreased protein localization to phagocytic vesicle	"decreased protein localization to phagocytic vesicle"	2	0	0	1	1	
decreased protein localization to post-lysosomal vacuole	"decreased protein localization to post-lysosomal vacuole"	0	0	NaN	1	1	
decreased protein localization to pseudopodium	"decreased protein localization to pseudopodium"	1	0	0	1	1	
decreased protein localization	"decreased protein localization"	4	0	0	1	1	
decreased protein modification	"decreased protein modification"	1	0	0	1	1	
decreased protein phosphorylation	"decreased protein phosphorylation"	8	0	0	1	1	
decreased protein processing in phagocytic vesicle	"decreased protein processing in phagocytic vesicle"	6	0	0	1	1	
decreased protein stabilization	"decreased protein stabilization"	4	0	0	1	1	
decreased protein tyrosine phosphorylation	"decreased protein tyrosine phosphorylation"	2	0	0	1	1	
decreased pseudopodium formation	"decreased pseudopodium formation"	4	0	0	1	1	
decreased pseudopodium retraction	"decreased pseudopodium retraction"	2	0	0	1	1	
decreased pseudopodium size	"decreased pseudopodium size"	2	0	0	1	1	
decreased pteridine level	"decreased pteridine level"	0	0	NaN	1	1	
decreased resistance to bleomycin	"decreased resistance to bleomycin"	5	0	0	1	1	
decreased resistance to carboplatin	"decreased resistance to carboplatin"	3	0	0	1	1	
decreased resistance to cisplatin	"decreased resistance to cisplatin"	6	0	0	1	1	
decreased resistance to hydrogen peroxide	"decreased resistance to hydrogen peroxide"	3	0	0	1	1	
decreased resistance to mitomycin C	"decreased resistance to mitomycin C"	1	0	0	1	1	
decreased resistance to nocodazole	"decreased resistance to nocodazole"	0	0	NaN	1	1	
decreased resistance to phleomycin	"decreased resistance to phleomycin"	3	0	0	1	1	
decreased response to DIF-1	"decreased response to DIF-1"	1	0	0	1	1	
decreased response to Gram-positive bacterium	"decreased response to Gram-positive bacterium"	5	0	0	1	1	
decreased response to bacterium	"decreased response to bacterium"	1	0	0	1	1	
decreased response to cAMP	"decreased response to cAMP"	2	0	0	1	1	
decreased response to hypoxia	"decreased response to hypoxia"	1	0	0	1	1	
decreased response to lithium	"decreased response to lithium"	2	0	0	1	1	
decreased secretion of lysosomal enzymes	"decreased secretion of lysosomal enzymes"	3	0	0	1	1	
decreased single-strand break repair	"decreased single-strand break repair"	2	0	0	1	1	
decreased size of astral microtubules	"decreased size of astral microtubules"	0	0	NaN	1	1	
decreased slime trail	"decreased slime trail"	1	0	0	1	1	
decreased slug migration	"decreased slug migration"	11	0	0	1	1	
decreased small molecule binding	"decreased small molecule binding"	2	0	0	1	1	
decreased sorus size	"decreased sorus size"	2	0	0	1	1	
decreased spore cell differentiation	"decreased spore cell differentiation"	13	0	0	1	1	
decreased spore resistance to hydrogen peroxide	"decreased spore resistance to hydrogen peroxide"	1	0	0	1	1	
decreased spore size	"decreased spore size"	4	0	0	1	1	
decreased stalk cell differentiation	"decreased stalk cell differentiation"	4	0	0	1	1	
decreased stalk length	"decreased stalk length"	16	0	0	1	1	
decreased stalk width	"decreased stalk width"	9	0	0	1	1	
decreased standing slug width	"decreased standing slug width"	3	0	0	1	1	
decreased substrate adhesion-dependent cell spreading	"decreased substrate adhesion-dependent cell spreading"	2	0	0	1	1	
decreased superoxide generation	"decreased superoxide generation"	5	0	0	1	1	
decreased taxis	"decreased taxis"	6	0	0	1	1	
decreased thermotaxis	"decreased thermotaxis"	2	0	0	1	1	
decreased uropod retraction	"decreased uropod retraction"	3	0	0	1	1	
decreased vegetative cell size	"decreased vegetative cell size"	17	0	0	1	1	
delayed aggregation	"delayed aggregation"	73	1	1.37	0.430909231597437	1	8616748
delayed cell separation during cytokinesis	"delayed cell separation during cytokinesis"	2	0	0	1	1	
delayed cytokinesis	"delayed cytokinesis"	1	0	0	1	1	
delayed gene expression	"delayed gene expression"	14	0	0	1	1	
delayed hypotonic response	"delayed hypotonic response"	3	0	0	1	1	
delayed mitotic cell cycle	"delayed mitotic cell cycle"	2	0	0	1	1	
delayed phagosome acidification	"delayed phagosome acidification"	2	0	0	1	1	
delayed phagosome reneutralization	"delayed phagosome reneutralization"	1	0	0	1	1	
delayed prespore gene expression	"delayed prespore gene expression"	3	0	0	1	1	
delayed pseudopodium formation	"delayed pseudopodium formation"	1	0	0	1	1	
delayed response to cAMP	"delayed response to cAMP"	1	0	0	1	1	
development arrests at slug stage	"development arrests at slug stage"	17	0	0	1	1	
development arrests at tight mound stage	"development arrests at tight mound stage"	1	0	0	1	1	
increased 2 3-bisphosphoglycerate level	"increased 2 3-bisphosphoglycerate level"	1	0	0	1	1	
increased ATP level	"increased ATP level"	1	0	0	1	1	
increased actin bundle formation	"increased actin bundle formation"	1	0	0	1	1	
increased actin filament depolymerization	"increased actin filament depolymerization"	1	0	0	1	1	
increased actin filament polymerization at leading edge	"increased actin filament polymerization at leading edge"	4	0	0	1	1	
increased actin filament polymerization	"increased actin filament polymerization"	31	0	0	1	1	
increased actin phosphorylation	"increased actin phosphorylation"	2	0	0	1	1	
increased activation of GTPase activity	"increased activation of GTPase activity"	9	0	0	1	1	
increased adenylate cyclase activity	"increased adenylate cyclase activity"	1	0	0	1	1	
increased ammonia level	"increased ammonia level"	1	0	0	1	1	
increased autophagic cell death	"increased autophagic cell death"	1	0	0	1	1	
increased autophagy	"increased autophagy"	1	0	0	1	1	
increased basal disc size	"increased basal disc size"	5	0	0	1	1	
increased bleb assembly	"increased bleb assembly"	13	0	0	1	1	
increased cAMP binding	"increased cAMP binding"	1	0	0	1	1	
increased cAMP level	"increased cAMP level"	8	0	0	1	1	
increased cGMP biosynthesis	"increased cGMP biosynthesis"	1	0	0	1	1	
increased cGMP-mediated signaling	"increased cGMP-mediated signaling"	2	0	0	1	1	
increased calcium-dependent cell-cell adhesion	"increased calcium-dependent cell-cell adhesion"	1	0	0	1	1	
increased calcium-independent cell-cell adhesion	"increased calcium-independent cell-cell adhesion"	2	0	0	1	1	
increased catalytic activity	"increased catalytic activity"	4	0	0	1	1	
increased cell differentiation	"increased cell differentiation"	1	0	0	1	1	
increased cell migration to prestalk region	"increased cell migration to prestalk region"	5	0	0	1	1	
increased cell motility	"increased cell motility"	18	0	0	1	1	
increased cell-substrate adhesion	"increased cell-substrate adhesion"	31	0	0	1	1	
increased cellular localization	"increased cellular localization"	1	0	0	1	1	
increased cellular thermotolerance	"increased cellular thermotolerance"	4	0	0	1	1	
increased chemotaxis rate	"increased chemotaxis rate"	4	0	0	1	1	
increased chemotaxis to arachidonic acid	"increased chemotaxis to arachidonic acid"	1	0	0	1	1	
increased chemotaxis to cAMP	"increased chemotaxis to cAMP"	7	0	0	1	1	
increased chemotaxis to folate	"increased chemotaxis to folate"	5	0	0	1	1	
increased contractile vacuole size	"increased contractile vacuole size"	4	0	0	1	1	
increased culmination	"increased culmination"	1	0	0	1	1	
increased defense response to Gram-negative bacterium	"increased defense response to Gram-negative bacterium"	5	0	0	1	1	
increased defense response to Gram-positive bacterium	"increased defense response to Gram-positive bacterium"	1	0	0	1	1	
increased defense response to bacterium	"increased defense response to bacterium"	1	0	0	1	1	
increased defense response to fungus	"increased defense response to fungus"	2	0	0	1	1	
increased endocytic recycling	"increased endocytic recycling"	1	0	0	1	1	
increased endosomal vesicle fusion	"increased endosomal vesicle fusion"	2	0	0	1	1	
increased endosome size	"increased endosome size"	1	0	0	1	1	
increased establishment of cell polarity	"increased establishment of cell polarity"	4	0	0	1	1	
increased exocytosis	"increased exocytosis"	5	0	0	1	1	
increased fruiting body size	"increased fruiting body size"	5	0	0	1	1	
increased glutamate level	"increased glutamate level"	1	0	0	1	1	
increased growth rate	"increased growth rate"	35	1	2.86	0.236224592765921	1	8620948
increased guanyl-nucleotide exchange factor activity	"increased guanyl-nucleotide exchange factor activity"	2	0	0	1	1	
increased guanylyl cyclase activity	"increased guanylyl cyclase activity"	1	0	0	1	1	
increased intracellular ammonia level	"increased intracellular ammonia level"	1	0	0	1	1	
increased iron ion transport	"increased iron ion transport"	1	0	0	1	1	
increased lateral pseudopodium formation	"increased lateral pseudopodium formation"	25	1	4	0.17497242434613	1	8616748
increased lysosomal pH	"increased lysosomal pH"	2	0	0	1	1	
increased lysosome size	"increased lysosome size"	2	0	0	1	1	
increased macropinocytosis	"increased macropinocytosis"	8	0	0	1	1	
increased migratory slug size	"increased migratory slug size"	9	0	0	1	1	
increased mitochondrial fission	"increased mitochondrial fission"	2	0	0	1	1	
increased myo-inositol level	"increased myo-inositol level"	1	0	0	1	1	
increased myosin II assembly	"increased myosin II assembly"	12	0	0	1	1	
increased necrotic cell death	"increased necrotic cell death"	1	0	0	1	1	
increased number of autophagosomes	"increased number of autophagosomes"	4	0	0	1	1	
increased number of centrosomes	"increased number of centrosomes"	3	0	0	1	1	
increased number of contractile vacuoles	"increased number of contractile vacuoles"	1	0	0	1	1	
increased number of early culminant tips	"increased number of early culminant tips"	3	0	0	1	1	
increased number of microtubule organizing center	"increased number of microtubule organizing center"	2	0	0	1	1	
increased number of mitochondria	"increased number of mitochondria"	1	0	0	1	1	
increased number of mounds	"increased number of mounds"	6	0	0	1	1	
increased number of pinosomes	"increased number of pinosomes"	1	0	0	1	1	
increased number of tip-organizers	"increased number of tip-organizers"	15	0	0	1	1	
increased oscillatory cAMP signaling	"increased oscillatory cAMP signaling"	7	0	0	1	1	
increased phagocytosis	"increased phagocytosis"	30	0	0	1	1	
increased phototaxis	"increased phototaxis"	1	0	0	1	1	
increased pinocytosis	"increased pinocytosis"	7	0	0	1	1	
increased positive regulation of GTPase activity	"increased positive regulation of GTPase activity"	2	0	0	1	1	
increased post-lysosomal vacuole size	"increased post-lysosomal vacuole size"	1	0	0	1	1	
increased post-transciptional gene silencing by RNA	"increased post-transciptional gene silencing by RNA"	1	0	0	1	1	
increased pre-miRNA processing	"increased pre-miRNA processing"	2	0	0	1	1	
increased prespore cell differentiation	"increased prespore cell differentiation"	8	0	0	1	1	
increased prespore gene expression	"increased prespore gene expression"	5	0	0	1	1	
increased prestalk A cell differentiation	"increased prestalk A cell differentiation"	3	0	0	1	1	
increased prestalk B cell differentiation	"increased prestalk B cell differentiation"	1	0	0	1	1	
increased prestalk O cell differentiation	"increased prestalk O cell differentiation"	5	0	0	1	1	
increased prestalk cell differentiation	"increased prestalk cell differentiation"	11	0	0	1	1	
increased prestalk gene expression	"increased prestalk gene expression"	10	0	0	1	1	
increased protein binding	"increased protein binding"	1	0	0	1	1	
increased protein kinase activation	"increased protein kinase activation"	14	0	0	1	1	
increased protein kinase activity	"increased protein kinase activity"	3	0	0	1	1	
increased protein level	"increased protein level"	10	0	0	1	1	
increased protein localization to cell cortex	"increased protein localization to cell cortex"	3	0	0	1	1	
increased protein localization to cell surface	"increased protein localization to cell surface"	1	0	0	1	1	
increased protein localization to cytoplasm	"increased protein localization to cytoplasm"	1	0	0	1	1	
increased protein localization to nucleus	"increased protein localization to nucleus"	2	0	0	1	1	
increased protein localization to plasma membrane	"increased protein localization to plasma membrane"	9	0	0	1	1	
increased protein localization to pseudopodium	"increased protein localization to pseudopodium"	1	0	0	1	1	
increased protein localization	"increased protein localization"	2	0	0	1	1	
increased protein modification	"increased protein modification"	6	0	0	1	1	
increased protein phosphorylation	"increased protein phosphorylation"	5	0	0	1	1	
increased protein secretion	"increased protein secretion"	2	0	0	1	1	
increased protein tyrosine phosphorylation	"increased protein tyrosine phosphorylation"	3	0	0	1	1	
increased pseudopodium formation	"increased pseudopodium formation"	7	0	0	1	1	
increased pseudopodium size	"increased pseudopodium size"	1	0	0	1	1	
increased resistance to 5-Fluoroorotic acid	"increased resistance to 5-Fluoroorotic acid"	1	0	0	1	1	
increased resistance to alendronic acid	"increased resistance to alendronic acid"	1	0	0	1	1	
increased resistance to carboplatin	"increased resistance to carboplatin"	2	0	0	1	1	
increased resistance to cheating during development	"increased resistance to cheating during development"	0	0	NaN	1	1	
increased resistance to cisplatin	"increased resistance to cisplatin"	7	0	0	1	1	
increased resistance to naringenin	"increased resistance to naringenin"	0	0	NaN	1	1	
increased resistance to nocodazole	"increased resistance to nocodazole"	0	0	NaN	1	1	
increased resistance to spectinomycin	"increased resistance to spectinomycin"	1	0	0	1	1	
increased resistance to valproic acid	"increased resistance to valproic acid"	2	0	0	1	1	
increased response to cAMP	"increased response to cAMP"	0	0	NaN	1	1	
increased response to hypoxia	"increased response to hypoxia"	4	0	0	1	1	
increased response to lithium	"increased response to lithium"	2	0	0	1	1	
increased secretion of lysosomal enzymes	"increased secretion of lysosomal enzymes"	8	0	0	1	1	
increased slug migration	"increased slug migration"	8	0	0	1	1	
increased sorus size	"increased sorus size"	4	0	0	1	1	
increased sporulation	"increased sporulation"	4	0	0	1	1	
increased stalk cell differentiation	"increased stalk cell differentiation"	1	0	0	1	1	
increased stalk length	"increased stalk length"	9	0	0	1	1	
increased stalk width	"increased stalk width"	6	0	0	1	1	
increased standing slug length	"increased standing slug length"	2	0	0	1	1	
increased substrate adhesion-dependent cell spreading	"increased substrate adhesion-dependent cell spreading"	1	0	0	1	1	
increased vegetative cell size	"increased vegetative cell size"	17	0	0	1	1	
mitotic M phase arrest	"mitotic M phase arrest"	1	0	0	1	1	
precocious culmination	"precocious culmination"	4	0	0	1	1	
precocious development of tipped mound	"precocious development of tipped mound"	4	0	0	1	1	
precocious development	"precocious development"	30	1	3.33	0.20617727244376	1	8618358
precocious gene expression	"precocious gene expression"	14	0	0	1	1	
precocious hypotonic response	"precocious hypotonic response"	1	0	0	1	1	
precocious mitotic spindle elongation	"precocious mitotic spindle elongation"	1	0	0	1	1	
precocious phagosome acidification	"precocious phagosome acidification"	1	0	0	1	1	
precocious prespore gene expression	"precocious prespore gene expression"	4	0	0	1	1	
precocious prestalk gene expression	"precocious prestalk gene expression"	4	0	0	1	1	
precocious spore germination	"precocious spore germination"	4	0	0	1	1	
precocious sporulation	"precocious sporulation"	5	0	0	1	1	
wild type	"wild type"	346	23	6.65	6.32284154731862e-17	4.20468962896688e-14	8617131,8617592,8617758,8618358,8618769,8618879,8618945,8620001,8620512,8620948,8622126,8622156,8622637,8622683,8624758,8624865,8626305,8626508,8626569,8627989,8628524,8629315,8629459
